SalesID, ProductID, Quantity, Date
40055, 345932, 34, 17/10/2020 12:00:00 AM
40096, 129305, 38, 17/10/2020 12:00:00 AM
40115, 563245, 8, 19/10/2020 12:00:00 AM
40119, 129305, 29, 13/10/2020 12:00:00 AM
40122, 659347, 30, 14/10/2020 12:00:00 AM
40136, 129305, 26, 9/10/2020 12:00:00 AM
40151, 793458, 47, 17/10/2020 12:00:00 AM
40154, 257899, 48, 24/10/2020 12:00:00 AM
40159, 659347, 10, 4/10/2020 12:00:00 AM
40170, 659347, 47, 5/10/2020 12:00:00 AM
40171, 257899, 18, 1/10/2020 12:00:00 AM
40174, 659347, 26, 25/10/2020 12:00:00 AM
40178, 257899, 20, 24/10/2020 12:00:00 AM
40179, 129305, 11, 26/10/2020 12:00:00 AM
40183, 659347, 21, 16/10/2020 12:00:00 AM
40204, 793458, 9, 16/10/2020 12:00:00 AM
40220, 257899, 37, 11/10/2020 12:00:00 AM
40264, 129305, 49, 23/10/2020 12:00:00 AM
40281, 659347, 48, 24/10/2020 12:00:00 AM
40286, 659347, 40, 26/10/2020 12:00:00 AM
40296, 793458, 19, 25/10/2020 12:00:00 AM
40297, 659347, 23, 17/10/2020 12:00:00 AM
40306, 345932, 30, 12/10/2020 12:00:00 AM
40325, 345932, 35, 9/10/2020 12:00:00 AM
40351, 345932, 17, 1/10/2020 12:00:00 AM
40358, 129305, 11, 15/10/2020 12:00:00 AM
40360, 345932, 8, 3/10/2020 12:00:00 AM
40383, 257899, 39, 5/10/2020 12:00:00 AM
40391, 563245, 24, 4/10/2020 12:00:00 AM
40392, 563245, 21, 3/10/2020 12:00:00 AM
40410, 257899, 18, 9/10/2020 12:00:00 AM
40414, 659347, 24, 24/10/2020 12:00:00 AM
40425, 563245, 46, 13/10/2020 12:00:00 AM
40443, 659347, 20, 17/10/2020 12:00:00 AM
40456, 257899, 11, 11/10/2020 12:00:00 AM
40466, 345932, 33, 24/10/2020 12:00:00 AM
40468, 659347, 32, 20/10/2020 12:00:00 AM
40488, 257899, 26, 14/10/2020 12:00:00 AM
40489, 659347, 32, 17/10/2020 12:00:00 AM
40508, 793458, 11, 16/10/2020 12:00:00 AM
40515, 345932, 21, 1/10/2020 12:00:00 AM
40533, 257899, 17, 5/10/2020 12:00:00 AM
40535, 563245, 18, 4/10/2020 12:00:00 AM
40536, 793458, 40, 4/10/2020 12:00:00 AM
40537, 257899, 44, 6/10/2020 12:00:00 AM
40546, 563245, 27, 20/10/2020 12:00:00 AM
40567, 563245, 15, 19/10/2020 12:00:00 AM
40600, 129305, 24, 10/10/2020 12:00:00 AM
40618, 345932, 32, 11/10/2020 12:00:00 AM
40633, 129305, 10, 7/10/2020 12:00:00 AM
40649, 659347, 12, 17/10/2020 12:00:00 AM
40655, 129305, 13, 23/10/2020 12:00:00 AM
40671, 659347, 15, 6/10/2020 12:00:00 AM
40672, 129305, 19, 16/10/2020 12:00:00 AM
40733, 793458, 49, 5/10/2020 12:00:00 AM
40735, 793458, 48, 3/10/2020 12:00:00 AM
40738, 345932, 36, 22/10/2020 12:00:00 AM
40747, 257899, 7, 4/10/2020 12:00:00 AM
40750, 563245, 24, 14/10/2020 12:00:00 AM
40761, 659347, 24, 7/10/2020 12:00:00 AM
40771, 257899, 43, 13/10/2020 12:00:00 AM
40781, 257899, 25, 14/10/2020 12:00:00 AM
40785, 563245, 9, 13/10/2020 12:00:00 AM
40803, 257899, 24, 9/10/2020 12:00:00 AM
40815, 563245, 16, 6/10/2020 12:00:00 AM
40817, 345932, 20, 17/10/2020 12:00:00 AM
40827, 345932, 49, 10/10/2020 12:00:00 AM
40831, 793458, 5, 24/10/2020 12:00:00 AM
40833, 345932, 21, 11/10/2020 12:00:00 AM
40843, 563245, 31, 25/10/2020 12:00:00 AM
40848, 257899, 6, 2/10/2020 12:00:00 AM
40860, 793458, 45, 1/10/2020 12:00:00 AM
40883, 659347, 48, 25/10/2020 12:00:00 AM
40889, 659347, 41, 17/10/2020 12:00:00 AM
40898, 345932, 18, 20/10/2020 12:00:00 AM
40899, 257899, 21, 19/10/2020 12:00:00 AM
40926, 793458, 12, 19/10/2020 12:00:00 AM
40932, 793458, 32, 2/10/2020 12:00:00 AM
40933, 257899, 23, 5/10/2020 12:00:00 AM
40947, 257899, 23, 14/10/2020 12:00:00 AM
40950, 345932, 36, 23/10/2020 12:00:00 AM
40960, 257899, 33, 12/10/2020 12:00:00 AM
40961, 345932, 24, 22/10/2020 12:00:00 AM
40968, 793458, 10, 17/10/2020 12:00:00 AM
40988, 563245, 44, 21/10/2020 12:00:00 AM
41011, 345932, 49, 23/10/2020 12:00:00 AM
41030, 345932, 49, 20/10/2020 12:00:00 AM
41050, 659347, 8, 2/10/2020 12:00:00 AM
41056, 129305, 12, 14/10/2020 12:00:00 AM
41073, 129305, 7, 18/10/2020 12:00:00 AM
41074, 345932, 5, 22/10/2020 12:00:00 AM
41082, 793458, 21, 14/10/2020 12:00:00 AM
41083, 793458, 10, 6/10/2020 12:00:00 AM
41093, 129305, 30, 23/10/2020 12:00:00 AM
41096, 129305, 18, 19/10/2020 12:00:00 AM
41105, 345932, 15, 5/10/2020 12:00:00 AM
41107, 659347, 41, 2/10/2020 12:00:00 AM
41130, 563245, 35, 2/10/2020 12:00:00 AM
41142, 345932, 48, 8/10/2020 12:00:00 AM
41191, 257899, 25, 5/10/2020 12:00:00 AM
41219, 257899, 22, 23/10/2020 12:00:00 AM
41244, 793458, 23, 12/10/2020 12:00:00 AM
41252, 129305, 16, 7/10/2020 12:00:00 AM
41275, 345932, 6, 8/10/2020 12:00:00 AM
41276, 257899, 9, 2/10/2020 12:00:00 AM
41294, 793458, 40, 24/10/2020 12:00:00 AM
41302, 793458, 34, 20/10/2020 12:00:00 AM
41317, 129305, 34, 22/10/2020 12:00:00 AM
41333, 257899, 6, 19/10/2020 12:00:00 AM
41350, 563245, 43, 22/10/2020 12:00:00 AM
41365, 345932, 21, 26/10/2020 12:00:00 AM
41366, 345932, 32, 13/10/2020 12:00:00 AM
41371, 129305, 47, 1/10/2020 12:00:00 AM
41373, 563245, 31, 10/10/2020 12:00:00 AM
41406, 659347, 10, 22/10/2020 12:00:00 AM
