SalesID, ProductID, Quantity, Date
105056, 345932, 12, 5/01/2000 12:00:00 AM
105065, 257899, 20, 7/01/2000 12:00:00 AM
105069, 793458, 33, 25/01/2000 12:00:00 AM
105076, 793458, 19, 1/01/2000 12:00:00 AM
105081, 257899, 16, 13/01/2000 12:00:00 AM
105085, 257899, 16, 8/01/2000 12:00:00 AM
105094, 129305, 21, 18/01/2000 12:00:00 AM
105097, 129305, 39, 21/01/2000 12:00:00 AM
105113, 345932, 19, 20/01/2000 12:00:00 AM
105115, 659347, 21, 16/01/2000 12:00:00 AM
105118, 563245, 22, 18/01/2000 12:00:00 AM
105136, 257899, 20, 21/01/2000 12:00:00 AM
105139, 659347, 27, 17/01/2000 12:00:00 AM
105156, 257899, 15, 4/01/2000 12:00:00 AM
105159, 257899, 21, 17/01/2000 12:00:00 AM
105160, 129305, 3, 25/01/2000 12:00:00 AM
105177, 345932, 25, 21/01/2000 12:00:00 AM
105204, 563245, 29, 21/01/2000 12:00:00 AM
105229, 129305, 41, 1/01/2000 12:00:00 AM
105240, 563245, 32, 10/01/2000 12:00:00 AM
105273, 793458, 33, 27/01/2000 12:00:00 AM
105277, 563245, 47, 21/01/2000 12:00:00 AM
105302, 793458, 33, 4/01/2000 12:00:00 AM
105320, 659347, 5, 16/01/2000 12:00:00 AM
105336, 129305, 48, 20/01/2000 12:00:00 AM
105341, 563245, 8, 20/01/2000 12:00:00 AM
105345, 257899, 35, 22/01/2000 12:00:00 AM
105354, 659347, 29, 9/01/2000 12:00:00 AM
105359, 129305, 37, 12/01/2000 12:00:00 AM
105392, 257899, 27, 24/01/2000 12:00:00 AM
105394, 793458, 25, 1/01/2000 12:00:00 AM
105399, 659347, 15, 15/01/2000 12:00:00 AM
105417, 129305, 11, 27/01/2000 12:00:00 AM
105432, 129305, 10, 10/01/2000 12:00:00 AM
105433, 659347, 26, 27/01/2000 12:00:00 AM
105438, 129305, 47, 11/01/2000 12:00:00 AM
105441, 257899, 45, 9/01/2000 12:00:00 AM
